filepath,formula,spacegroup_number,spacegroup_symbol,num_atoms,endpoint,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability
/home/ubuntu/ai_wh/wh-ai/new_data/database/Al4C3/mp_743752_mp_632442_cost_0.2378/1_normalized.vasp,Al4C3,1,P1,7,1,0.9551581740379333,0.9999756813049316,True,True,True,0.9775669276714325
/home/ubuntu/ai_wh/wh-ai/new_data/database/Mg(CuS2)2/mp_2224818_mp_2227941_cost_0.1066/1_normalized.vasp,Mg(CuS2)2,6,Pm,7,1,0.9503316879272461,0.9999983310699463,True,True,True,0.9751650094985962
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgTi4Bi2O11/mp_2228437_mp_2229201_cost_0.4716/1_normalized.vasp,MgTi4Bi2O11,12,C2/m,18,1,0.943755030632019,0.9992200136184692,True,True,True,0.9714875221252441
/home/ubuntu/ai_wh/wh-ai/new_data/database/Ag3AuS2/mp_34982_mp_34460_cost_0.1213/1_normalized.vasp,Ag3AuS2,1,P1,6,1,0.9956316947937012,0.9437347650527954,True,True,True,0.9696832299232483
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiTb2(PO4)2/mp_1232986_mp_1235423_cost_0.0216/1_normalized.vasp,LiTb2(PO4)2,5,C2,13,1,0.9352059960365295,0.9999865293502808,True,True,True,0.9675962626934052
/home/ubuntu/ai_wh/wh-ai/new_data/database/KIO3/mp_2762888_mp_23487_cost_0.0359/1_normalized.vasp,KIO3,23,I222,20,1,0.9348679184913635,0.9999969005584717,True,True,True,0.9674324095249176
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgTi2(Ga2O5)2/mp_2229128_mp_2229204_cost_0.3303/1_normalized.vasp,MgTi2(Ga2O5)2,1,P1,17,1,0.923460066318512,0.9999983310699463,True,True,True,0.9617291986942291
/home/ubuntu/ai_wh/wh-ai/new_data/database/Mg3SO9/mp_1211244_mp_1237332_cost_0.4026/1_normalized.vasp,Mg3SO9,1,P1,13,1,0.9212825298309326,0.9999983310699463,True,True,True,0.9606404304504395
/home/ubuntu/ai_wh/wh-ai/new_data/database/MgTi3CuO8/mp_2219707_mp_2227545_cost_0.3342/1_normalized.vasp,MgTi3CuO8,25,Pmm2,13,1,0.9112662076950073,0.999875545501709,True,True,True,0.9555708765983582
/home/ubuntu/ai_wh/wh-ai/new_data/database/K2CoH2(SO5)2/mp_1212258_mp_1238442_cost_0.2437/1_normalized.vasp,K2CoH2(SO5)2,2,P-1,17,1,0.9067339897155762,0.9999918937683105,True,True,True,0.9533629417419434
/home/ubuntu/ai_wh/wh-ai/new_data/database/SrTaNO2/mp_780671_mp_2583419_cost_0.3212/1_normalized.vasp,SrTaNO2,5,C2,20,1,0.8915640711784363,0.9999982118606567,True,True,True,0.9457811415195465
/home/ubuntu/ai_wh/wh-ai/new_data/database/KAu(IO3)4/mp_1105366_mp_557441_cost_0.0355/1_normalized.vasp,KAu(IO3)4,5,C2,18,1,0.8873175382614136,0.9999895095825195,True,True,True,0.9436535239219666
/home/ubuntu/ai_wh/wh-ai/new_data/database/LiNdTi2O6/mp_1105323_mp_756581_cost_0.0604/1_normalized.vasp,LiNdTi2O6,6,Pm,20,1,0.879112720489502,0.9999896287918091,True,True,True,0.9395511746406555
/home/ubuntu/ai_wh/wh-ai/new_data/database/CsMgMnP3HO10/mp_2229931_mp_2229343_cost_0.2247/1_normalized.vasp,CsMgMnP3HO10,1,P1,17,1,0.8765036463737488,0.9999157190322876,True,True,True,0.9382096827030182
/home/ubuntu/ai_wh/wh-ai/new_data/database/TeC4Se4(N4Cl)2/mp_1106362_mp_1179167_cost_0.2951/1_normalized.vasp,TeC4Se4(N4Cl)2,2,P-1,19,1,0.8740240335464478,0.9999634027481079,True,True,True,0.9369937181472778
