generated_id,generated_formula,mp_id,mp_formula,mp_spacegroup,total_score,composition_match,lattice_score,volume_score,spacegroup_match,mp_volume,mp_a,mp_b,mp_c,mp_alpha,mp_beta,mp_gamma,mp_energy_above_hull,mp_band_gap,mp_is_stable,mp_is_polar,mp_point_group
10,H-Cs-O,mp-625136,CsHO,36,80.24006495200831,100.0,76.09907822185703,80.52693787179173,False,110.80322010826265,6.087842798546771,6.087842798546771,4.50427281,90.0,90.0,41.586067206651144,0.0,3.4329,True,True,mm2
67,O-Ba-I,mp-30991,Ba(IO3)2,15,80.23489166959396,100.0,83.01749161425133,68.39384802303005,False,332.64687771828727,7.43219758245299,7.432198092294297,7.814348965556209,99.71216948633061,112.33666738213772,115.02649998993064,0.0,3.543599999999999,True,False,2/m
140,O-Ba-I-H,mp-766855,BaH9IO5,2,80.22412887195055,100.0,86.39859313364367,62.42310637587634,False,407.41323968824946,6.372956,8.172790988567126,8.173087382789506,89.91337857393329,89.80758097416356,73.1490863375776,0.009511703906248,3.5202,False,False,-1
37,O-Sr-I-H,mp-703295,SrH2I2O,62,79.94121543009125,100.0,87.97128925642743,58.25632095170823,False,567.6293912794773,4.556126,9.818031,12.689507,90.0,90.0,90.0,0.000315544999999,3.6429,False,False,mmm
10,H-Cs-O,mp-642682,CsHO,19,78.59240303329219,100.0,88.32171131340642,50.89902036799967,False,260.08359108464805,4.412783,4.468636,13.189411,90.0,90.0,90.0,0.030045265,3.1721,False,False,222
140,O-Ba-I-H,mp-24510,BaH2I2O7,15,78.5635284826675,100.0,79.0578407628523,66.96642107834592,False,379.772423111075,7.9040442157701145,7.9040442157701145,9.151148630993434,55.44844492432531,55.44844492432531,62.671971434311445,0.014186684374999,3.6607000000000003,False,False,2/m
51,O-Sc-I-H,mp-1203306,ScH11(IO3)2,2,78.47609614070447,100.0,85.32716409827398,55.55794353154293,False,569.8555055772554,8.318385383097851,8.57421459230669,9.574274187798204,94.70102828406372,119.5437351059542,101.24155571981943,0.0,3.2116,True,False,-1
14,O-H-Ga,mp-673411,GaHO2,1,77.80477827534241,100.0,87.58848628440245,48.2440403790078,False,134.33409831754662,6.212392179943326,6.065869645553059,5.245592614874034,66.16425664333906,63.26972951492492,50.56601384173603,0.26179997124999904,1.9492,False,True,1
38,O-Sc-I,mp-559760,ScIO,12,77.67008248408754,100.0,80.1424387241885,60.601144653107816,False,279.25215104220206,3.8775516778562893,7.240309869592693,10.147760306753883,93.36188932468067,100.90354201212163,90.00715686409421,0.0,1.9603000000000002,True,False,2/m
14,O-H-Ga,mp-625621,GaHO2,43,77.61523429963657,100.0,87.50798734866314,47.437193638022364,False,133.623656290323,6.213031092594017,6.0499316968776595,5.235158329566834,66.35378614519253,63.1246884390396,50.52152541576788,0.23887064562500002,1.8119,False,True,mm2
