material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe,label_source,refined_ferroelectric
mp-10246,Na2PtS2,36,Cmc2_1,10,0.0,True,0.0166043788194656,0.9958779811859132,False,True,False,0.5062411800026894,False,model_prediction,True
mp-1105452,H2Pd(PbO2)2,2,P-1,18,0.13863427295139,False,0.9999805688858032,0.0124506959691643,True,False,False,0.5062156324274838,False,model_prediction,True
mp-753340,Li4VF8,3,P2,13,0.059671282307689,False,0.9999842643737792,0.0124336117878556,True,False,False,0.5062089380808175,False,model_prediction,True
mp-9519,AgCN,160,R3m,3,0.344193296944444,False,0.9999074935913086,0.0124248908832669,True,False,False,0.5061661922372878,False,model_prediction,True
mp-1220998,NaH4IO7,1,P1,13,0.165555693846155,False,0.9999921321868896,0.0123166227713227,True,False,False,0.5061543774791062,False,model_prediction,True
mp-6903,Na2Ca4ZrNbSi4O17F,4,P2_1,60,0.0,True,0.0122657921165227,0.9999943971633912,False,True,False,0.506130094639957,False,model_prediction,True
mp-2229011,MgSc4Ti2O10,1,P1,17,0.131769590147051,False,0.0121537065133452,0.9999974966049194,False,True,False,0.5060756015591323,False,model_prediction,True
mp-1215736,Yb4Zr3O12,2,P-1,19,0.0,True,0.0121407117694616,0.999992847442627,False,True,False,0.5060667796060443,False,model_prediction,True
mp-1246993,V(PbN)4,2,P-1,18,0.307164037777781,False,0.0121086705476045,0.9999979734420776,False,True,False,0.5060533219948411,False,model_prediction,True
mp-1221509,Mo2AsP3,8,Cm,6,0.032491601666666,False,0.014530586078763,0.9975008368492126,False,True,False,0.5060157114639878,False,model_prediction,True
mp-1227424,BiPbO2F,8,Cm,5,0.021902840312514,False,0.9999945163726808,0.0120113343000411,True,False,False,0.5060029253363609,False,model_prediction,True
mp-773502,KCoPCO7,4,P2_1,22,0.030420439545457,False,0.999948263168335,0.0119971670210361,True,False,False,0.5059727150946856,False,model_prediction,True
mp-2232687,MgV4SnO12,5,C2,18,0.241677246736131,False,0.011987205594778,0.999925136566162,False,True,False,0.5059561710804701,False,model_prediction,True
mp-1394209,W2O5,32,Pba2,14,0.249664150178572,False,0.0121848257258534,0.999657154083252,False,True,False,0.5059209899045527,False,model_prediction,True
mp-1218614,Sr4Li(RuO4)3,2,P-1,20,0.025668274749998,False,0.9995878338813782,0.0122481444850564,True,False,False,0.5059179891832173,False,model_prediction,True
mp-17738,Sr2Cu(SeO3)3,2,P-1,30,0.010016132666656,False,0.0118301715701818,0.9999932050704956,False,True,False,0.5059116883203387,False,model_prediction,True
mp-1210840,Na2OsO8,4,P2_1,22,0.387226522777774,False,0.9999878406524658,0.0116844000294804,True,False,False,0.5058361203409731,False,model_prediction,True
mp-29895,Rb3Bi2I9,7,Pc,56,0.0,True,0.99977308511734,0.0118591375648975,True,False,False,0.5058161113411188,False,model_prediction,True
mp-1225947,Hg2C3I5N,9,Cc,22,0.498739752045451,False,0.011661541648209,0.9999382495880128,False,True,False,0.5057998956181109,False,model_prediction,True
mp-542121,Rb4Nb2Si8O23,2,P-1,37,0.0,True,0.0116009199991822,0.9999901056289672,False,True,False,0.5057955128140748,False,model_prediction,True
mp-1214520,BaNbI5O16,9,Cc,46,0.000887729029501,False,0.0114674782380461,0.999994158744812,False,True,False,0.5057308184914291,False,model_prediction,True
mp-729544,Ca4Al2H22CO20,1,P1,49,5.082456689710888,False,0.0115496264770627,0.9998873472213744,False,True,False,0.5057184868492186,False,model_prediction,True
mp-866712,RbMnP3HO10,5,C2,32,0.0,True,0.9999440908432008,0.0114623541012406,True,False,False,0.5057032224722207,False,model_prediction,True
mp-1211385,LaZrF7,4,P2_1,18,0.035844769537037,False,0.9999877214431764,0.0113984197378158,True,False,False,0.5056930705904961,False,model_prediction,True
mp-2226113,MgNb2(NO)2,8,Cm,7,0.341870778542851,False,0.0113713378086686,0.9999961853027344,False,True,False,0.5056837615557015,False,model_prediction,True
