material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_v6_prob,nequip_v2_prob,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,is_known_fe,is_known_non_fe
mp-1219436,Sc2Al4(CO)3,160,R3m,0.141913249861112,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1219383,Sc3InP4,160,R3m,0.414622407500001,False,0.999999205271403,1.0,True,True,True,False,False
mp-1219373,Sc3Te4,160,R3m,0.034644327142856,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1096798,ScAgO2,160,R3m,0.10827170624997301,False,0.999999205271403,1.0,True,True,True,False,False
mp-1094066,ScAgS2,160,R3m,0.0,True,0.9999991257985433,1.0,True,True,True,False,False
mp-1219274,ScNb(NiSn)2,160,R3m,0.0,True,0.9999993244806925,1.0,True,True,True,False,False
mp-1219278,ScSb3Pb4O13,160,R3m,0.0,True,0.9999990860621134,1.0,True,True,True,False,False
mp-1219264,ScTi(NiSn)2,160,R3m,0.014683135000001001,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1219331,ScTi4(NiSn)5,160,R3m,0.007348642666666001,False,0.9999993642171224,1.0,True,True,True,False,False
mp-11713,SiC,160,R3m,9.136636842121963e-05,False,0.9999992847442627,0.9999998807907104,True,True,True,False,False
mp-1197730,SiC,160,R3m,0.000175364721362,False,0.9999994039535522,1.0,True,True,True,False,False
mp-1199063,SiC,160,R3m,0.031864561928571004,False,0.9999994436899821,1.0,True,True,True,False,False
mp-1200168,SiC,160,R3m,0.031709074982758004,False,0.9999994436899821,1.0,True,True,True,False,False
mp-1200692,SiC,160,R3m,2.185089783424132e-05,False,0.9999993244806925,1.0,True,True,True,False,False
mp-1200848,SiC,160,R3m,0.032039476500001,False,0.9999993642171224,1.0,True,True,True,False,False
mp-1204356,SiC,160,R3m,0.0,True,0.9999994039535522,1.0,True,True,True,False,False
mp-570641,SiC,160,R3m,0.009269019250000001,False,0.9999992847442627,0.9999998807907104,True,True,True,False,False
mp-570690,SiC,160,R3m,0.008367561055555,False,0.9999992847442627,0.9999998807907104,True,True,True,False,False
mp-570804,SiC,160,R3m,0.031695728576924,False,0.9999993642171224,1.0,True,True,True,False,False
mp-624397,SiC,160,R3m,0.031762955045454004,False,0.9999993244806925,0.9999998807907104,True,True,True,False,False
mp-9947,SiC,160,R3m,1.63309398502065e-05,False,0.9999992847442627,0.9999998807907104,True,True,True,False,False
mp-1207095,SiPAu,160,R3m,0.0,True,0.999999205271403,1.0,True,True,True,False,False
mp-793791,Sm(FeO2)2,160,R3m,0.15925341535715,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1187046,Sm(Mg4Al3)4,160,R3m,0.01949557840517,False,0.9999993244806925,1.0,True,True,True,False,False
mp-1219212,Sm2Al4Fe13,160,R3m,0.06683460403508801,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1219201,Sm2Co16Ag,160,R3m,0.065525258297219,False,0.999999205271403,1.0,True,True,True,False,False
mp-1219168,Sm2Co16Ge,160,R3m,0.054793403552626005,False,0.999999205271403,1.0,True,True,True,False,False
mp-1219244,Sm2CrFe16,160,R3m,0.025588167894735003,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1219231,Sm2Fe4Co13,160,R3m,0.0,True,0.9999991655349731,1.0,True,True,True,False,False
mp-1219207,Sm2TiCo16,160,R3m,0.0,True,0.999999205271403,1.0,True,True,True,False,False
mp-1219230,Sm2VCo16,160,R3m,0.007607990596487001,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1219218,Sm2VFe16,160,R3m,0.018382596842105,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1219342,Sm2ZrFe16,160,R3m,0.298278306315789,False,0.9999992847442627,1.0,True,True,True,False,False
mp-579102,Sm32O21,160,R3m,0.19845350563679,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1234253,Sm3MgBi(Ru2O7)2,160,R3m,0.11207342779890701,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1234862,Sm3MgBi(Ru2O7)2,160,R3m,0.14823119519021302,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1101415,Sm4Th3O12,160,R3m,0.077500447499996,False,0.999999205271403,1.0,True,True,True,False,False
mp-675749,Sm6Th4O17,160,R3m,0.08206705050925901,False,0.9999993244806925,1.0,True,True,True,False,False
mp-1219075,SmBiTe3,160,R3m,0.029470171250004003,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1219099,SmCu4Pd,160,R3m,0.021769772777791,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1219083,SmDyFe17,160,R3m,0.022891330789475,False,0.9999993244806925,1.0,True,True,True,False,False
mp-1219100,SmErFe17,160,R3m,0.025014601140352002,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1219295,SmGdCo17,160,R3m,0.0,True,0.9999991655349731,1.0,True,True,True,False,False
mp-23771,SmH3(CO2)3,160,R3m,0.117319510384617,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1219044,SmMg3Ni8,160,R3m,0.0,True,0.9999992847442627,1.0,True,True,True,False,False
mp-2222762,SmMgTiO3,160,R3m,0.6576506534374951,False,0.9999990463256836,1.0,True,True,True,False,False
mp-1218986,SmSbTe3,160,R3m,0.058006843142857006,False,0.999999205271403,1.0,True,True,True,False,False
mp-1218989,SmThCN,160,R3m,0.044108841458331,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1219047,SmYCo17,160,R3m,0.0,True,0.9999991655349731,1.0,True,True,True,False,False
mp-1219026,SmYFe17,160,R3m,0.022134298684211,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1219057,SmYFe6,160,R3m,0.00011332479166500001,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1219061,Sn2Ge5(SbTe5)2,160,R3m,0.020791974210524002,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1219089,Sn3TePb4O13,160,R3m,0.0,True,0.999999205271403,1.0,True,True,True,False,False
mp-1219030,Sn4GeTe4Se,160,R3m,0.009220621062498,False,0.9999993244806925,0.9999998807907104,True,True,True,False,False
mp-1219035,Sn4Te3Se,160,R3m,0.12418185593750002,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1219067,Sn5Ge2(SbTe5)2,160,R3m,0.028924776315788003,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1068985,SnCCl3,160,R3m,1.290554229750002,False,0.9999990860621134,1.0,True,True,True,False,False
mp-1218953,SnGe4Te4Se,160,R3m,0.0,True,0.9999993244806925,1.0,True,True,True,False,False
mp-1044721,SnO2,160,R3m,0.15742580416666702,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1218916,SnSb,160,R3m,0.11727179000000001,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1218922,SnTe(PbS)4,160,R3m,0.020465665250001,False,0.9999993642171224,1.0,True,True,True,False,False
mp-1218892,SnTePbSe,160,R3m,0.013198344999999001,False,0.9999993244806925,1.0,True,True,True,False,False
mp-1187115,Sr(Mg4Al3)4,160,R3m,0.028143500919544002,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1173598,Sr15La2Cl36,160,R3m,0.044611420754719,False,0.9999994436899821,1.0,True,True,True,False,False
mp-1218784,Sr2La3Fe4CoO15,160,R3m,0.037192849870968006,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1218816,Sr2La3FeCo4O15,160,R3m,0.026334173693548003,False,0.9999992847442627,1.0,True,True,True,False,False
mp-1235297,Sr2LiCuBrO2,160,R3m,0.47308808940476105,False,0.9999990860621134,1.0,True,True,True,False,False
mp-1235608,Sr2LiCuBrO2,160,R3m,0.420232335119047,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1235205,Sr2LiLaTaO6,160,R3m,0.19305166741537702,False,0.9999991257985433,1.0,True,True,True,False,False
mp-1236131,Sr2LiLaTaO6,160,R3m,0.29114681468810405,False,0.9999991655349731,1.0,True,True,True,False,False
mp-1235232,Sr2LiYbUO6,160,R3m,0.21211123351239503,False,0.9999992450078329,1.0,True,True,True,False,False
mp-1235188,Sr2LiZrCrO6,160,R3m,0.1865142525,False,0.9999991655349731,1.0,True,True,True,False,False
mp-2241076,Sr2MgFeOsO6,160,R3m,0.365015513181821,False,0.9999991257985433,1.0,True,True,True,False,False
mp-2223673,Sr2MgNiRuO6,160,R3m,0.30718582727272903,False,0.9999991257985433,1.0,True,True,True,False,False
mp-2217649,Sr2MgTiFeO6,160,R3m,0.267602938181816,False,0.9999992450078329,1.0,True,True,True,False,False
mp-2217784,Sr2MgZnWO6,160,R3m,0.40980261909090904,False,0.999999205271403,0.9999998807907104,True,True,True,False,False
