material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_v6_prob,nequip_v2_prob,avg_prob,min_prob
mp-682548,Cs5Te3H4NCl18,156,P3m1,0.0,True,0.9999924898147584,0.9999940395355223,0.9999992450078328,1.0,0.9999964435895284,0.9999924898147584
mp-541459,KSnPO5,33,Pna2_1,0.0,True,0.999988317489624,0.9999980926513672,0.9999993642171224,0.9999998807907104,0.999996413787206,0.999988317489624
mp-554056,Ca2B5BrO9,34,Pnn2,0.0,True,0.9999898672103882,0.999996304512024,0.999999483426412,0.9999998807907104,0.9999963839848836,0.9999898672103882
mp-540574,Cs2Hg3I8,8,Cm,0.0,True,0.9999949932098388,0.999997615814209,0.9999969800313314,0.9999959468841552,0.9999963839848836,0.9999949932098388
mp-1194520,Rb4Al2S5,33,Pna2_1,0.0,True,0.9999910593032836,0.9999948740005492,0.9999995628992716,1.0,0.999996374050776,0.9999910593032836
mp-1239185,KVPO4F,33,Pna2_1,0.0,True,0.9999891519546508,0.9999971389770508,0.9999993244806924,0.9999998807907104,0.999996374050776,0.9999891519546508
mp-554012,SClO2F,29,Pca2_1,0.0,True,0.9999898672103882,0.9999966621398926,0.9999990463256836,0.9999998807907104,0.9999963641166688,0.9999898672103882
mp-15108,RbSnAsO5,33,Pna2_1,0.0,True,0.9999896287918092,0.999996542930603,0.9999994039535522,0.9999998807907104,0.9999963641166688,0.9999896287918092
mp-568916,K6InTe4Cl,186,P6_3mc,0.0,True,0.9999912977218628,0.9999948740005492,0.999999205271403,1.0,0.9999963442484536,0.9999912977218628
mp-561851,CsNO3,144,P3_1,0.0,True,0.9999880790710448,0.9999979734420776,0.999999205271403,0.9999998807907104,0.999996284643809,0.9999880790710448
mp-6394,RbTiAsO5,33,Pna2_1,0.0,True,0.999990463256836,0.999995231628418,0.999999443689982,0.9999998807907104,0.9999962548414866,0.999990463256836
mp-554164,KLiZnP2O7,26,Pmc2_1,0.0,True,0.9999884366989136,0.9999977350234984,0.999999205271403,0.9999996423721312,0.9999962548414866,0.9999884366989136
mp-15107,KSnAsO5,33,Pna2_1,0.0,True,0.9999877214431764,0.999997854232788,0.9999993642171224,0.9999998807907104,0.9999962051709492,0.9999877214431764
mp-1211446,Li7PSe6,33,Pna2_1,0.0,True,0.9999901056289672,0.9999954700469972,0.9999992847442628,0.9999998807907104,0.9999961853027344,0.9999901056289672
mp-1221154,Na4Sr2SiAs4,9,Cc,0.0,True,0.9999948740005492,0.9999905824661256,0.999999443689982,0.9999996423721312,0.999996135632197,0.9999905824661256
mp-27198,Cd(NO3)2,29,Pca2_1,0.0,True,0.9999880790710448,0.9999972581863404,0.9999993244806924,0.9999998807907104,0.999996135632197,0.9999880790710448
mp-27704,K3V5O14,157,P31m,0.0,True,0.9999898672103882,0.999995231628418,0.999999443689982,1.0,0.999996135632197,0.9999898672103882
mp-560944,Cs4Ba(PO3)6,159,P31c,0.0,True,0.9999910593032836,0.999994158744812,0.9999993244806924,1.0,0.999996135632197,0.9999910593032836
mp-18545,CsV3(SeO6)2,173,P6_3,0.0,True,0.9999871253967284,0.9999983310699464,0.9999990860621134,0.9999998807907104,0.9999961058298746,0.9999871253967284
mp-16787,K2V3O8,100,P4bm,0.0,True,0.9999898672103882,0.999995231628418,0.999999205271403,1.0,0.9999960760275522,0.9999898672103882
mp-8070,Li2BeSiO4,7,Pc,0.0,True,0.9999942779541016,0.9999977350234984,0.9999990065892538,0.9999932050704956,0.9999960561593374,0.9999932050704956
mp-14352,KGeSbO5,33,Pna2_1,0.0,True,0.9999874830245972,0.999997615814209,0.9999993642171224,0.9999997615814208,0.9999960561593374,0.9999874830245972
mp-27925,KEr2F7,33,Pna2_1,0.0,True,0.9999887943267822,0.9999961853027344,0.9999992450078328,1.0,0.9999960561593372,0.9999887943267822
