Material_Name,Material_ID,Workflow_Status,Max_Distortion (Å),Spontaneous_Strain (unitless),Symmetry_Change (Delta_SG),Bandgap (eV),Avg_Distortion (Å),Structural_Delta,Volume_Change_Ratio,Delta_Bandgap (eV),Delta_E (eV/atom),Ps (uC/cm2),Label
Li6PS5I,mp-950995,COMPLETED,0.7442,0.0081,207,2.2888,0.1406,0.056,-0.03021411112562889,0.2536999999999998,0.01621801692307745,2.5638913624270634,ferroelectric
Sr(HO)2,mp-625184,COMPLETED,0.2737,0.0036,36,3.9957000000000003,0.0543,0.028,-0.007536451957276848,0.013500000000000068,0.0024574799999994568,1.1653750601614499,ferroelectric
LiNi4(PO4)3,mp-868339,DEFUSED,1.3535,0.0104,6,2.5303999999999998,0.1047,0.073,-0.030388384591376525,-0.6408999999999998,null,null,none_ferroelectric
VHO2,mp-626791,DEFUSED,0.1384,0.0065,36,1.5037000000000003,0.0418,0.048,-0.011959407168862467,0.030299999999999994,null,null,none_ferroelectric
Fe3O4,mp-715275,DEFUSED,1.3208,0.0191,31,0.6031999999999993,0.2925,0.166,-0.08603127816216488,0.2504000000000004,null,null,none_ferroelectric
H4CSN2,mp-721896,COMPLETED,0.6561,0.0244,36,3.3423,0.1807,0.149,-0.10154815196933771,-0.3323999999999998,-0.006046623437500287,4.842227345960869,ferroelectric
PbO,mp-550714,COMPLETED,0.3509,0.0383,28,2.2317000000000005,0.472,0.165,0.10831266556322569,0.07299999999999995,-0.001940818750000517,54.297268789588834,ferroelectric
VHO2,mp-626791,DEFUSED,0.1554,0.0014,36,1.5037000000000003,0.0459,0.027,0.004902986166196342,-0.04209999999999958,null,null,none_ferroelectric
Fe3O4,mp-715275,DEFUSED,0.229,0.0004,37,0.6031999999999993,0.0625,0.04,0.0018702812035462585,-0.11519999999999975,null,null,none_ferroelectric
TiCdO3,mp-20940,COMPLETED,0.113,0.0031,36,2.4633,0.0444,0.036,0.009051484642936744,0.33660000000000023,0.0027947564999992736,37.19308167354881,ferroelectric
MgH2,mp-569051,COMPLETED,0.6882,0.0411,31,2.365,0.5693,0.398,-0.0998796972463045,-1.2753,-0.03956570083333322,30.936253670835544,ferroelectric
NaNbO3,mp-558920,COMPLETED,0.6557,0.0061,28,2.4044999999999996,0.2009,0.089,0.002948378509640043,0.047900000000000276,-2.3582249999876126e-05,31.48127045702316,ferroelectric
Bi2MoO6,mp-25708,COMPLETED,0.7105,0.0174,32,2.0776999999999997,0.2772,0.134,0.05700832682028299,1.5385999999999997,0.044570781666666726,7.709829976232938,none_ferroelectric
ZrO2,mp-556605,COMPLETED,0.7887,0.0123,196,3.7098999999999998,0.5848,0.21,0.03695049824622103,0.5665,0.04746386583333262,51.160154493966346,ferroelectric
Bi2MoO6,mp-25708,COMPLETED,0.4506,0.0139,35,2.0776999999999997,0.2098,0.105,0.04396467642914996,1.6120999999999999,0.04562882555555614,7.709837006846291,none_ferroelectric
NaNbO3,mp-558920,COMPLETED,0.4897,0.0094,34,2.4044999999999996,0.2081,0.074,-0.03918086628825428,0.5265000000000004,0.02169072049999965,31.48227890127624,ferroelectric
HfO2,mp-685097,COMPLETED,0.8203,0.0123,196,4.3766,0.6104,0.224,0.031178511847282205,0.609,0.060236901666668174,53.422066980856286,ferroelectric
InHO2,mp-504535,COMPLETED,0.2267,0.005,27,1.7811000000000003,0.0903,0.051,0.017273624076530547,-0.061099999999999266,0.010001889999999847,13.158649081385892,ferroelectric
Li3CrO4,mp-770632,DEFUSED,1.3074,0.2827,34,1.1332,0.755,0.307,0.2841491556637974,0.20879999999999987,null,null,none_ferroelectric
LiFeF4,mp-777891,DEFUSED,1.3558,0.0245,31,2.9386,0.3293,0.214,-0.07668891172034442,-0.1469999999999998,null,null,none_ferroelectric
HfPbO3,mp-669414,COMPLETED,0.5928,0.0032,23,2.7954999999999997,0.1742,0.045,0.014985600286564135,0.0741000000000005,-0.0032626570000005017,19.78349566994123,ferroelectric
TlHCO2,mp-558579,COMPLETED,0.0608,0.0023,19,3.5007,0.0431,0.021,0.00867487959400737,0.014899999999999913,-9.592950000048006e-05,0.7594168698973989,ferroelectric
SbO2,mp-230,COMPLETED,1.4609,0.002,19,1.8959000000000001,0.9523,0.295,-0.004692594210365928,-0.022700000000000387,0.0010990287499996754,4.578305333444004,none_ferroelectric
ZrPbO3,mp-647557,COMPLETED,0.3658,0.0044,23,2.8441,0.1051,0.038,0.01987701840898026,0.07099999999999929,-0.004523024250001839,23.52628957952823,ferroelectric
NbSbO4,mp-3491,COMPLETED,0.2072,0.0017,19,2.4456999999999995,0.1092,0.03,-0.006449621353563706,0.07960000000000012,0.0002895687500013011,18.096170928889844,ferroelectric
TiTlPO5,mp-6706,COMPLETED,0.6556,0.0017,19,2.6523999999999996,0.1128,0.025,0.004827753873234186,0.33269999999999955,0.0035592425000006145,22.12819747969203,ferroelectric
SiO2,mp-554089,COMPLETED,1.3731,0.1038,27,5.6545,1.2894,0.743,0.9142471765362247,0.3633999999999986,0.251814589166667,89.92783638242211,none_ferroelectric
AlHg2SbCl4,mp-570828,COMPLETED,0.6893,0.0029,27,0.8906999999999999,0.1562,0.048,-0.007205251893138036,0.0462999999999999,-0.00039260562500009755,0.49364680097623526,ferroelectric
GaHg2SbCl4,mp-568031,COMPLETED,0.7465,0.0034,27,0.8166,0.1687,0.053,-0.010374104424274572,0.06470000000000009,-0.000594112343750286,0.5397238927225425,ferroelectric
K2FeF5,mp-579331,COMPLETED,0.0824,0.0005,27,3.6649,0.0157,0.005,8.344638350580756e-05,0.002000000000000668,-3.218898437573614e-05,0.5471683517302358,none_ferroelectric
K2ZnCl4,mp-618177,COMPLETED,0.1124,0.0017,29,4.4002,0.0652,0.018,-0.005827847411701765,0.0039000000000006807,-0.00039531785714297385,2.2306732749441225,ferroelectric
MgSiO3,mp-557803,COMPLETED,1.4713,0.009,27,4.6615,0.6335,0.274,-0.021211170427875153,0.06870000000000065,-0.0044638627499988814,1.1108532551137624,ferroelectric
Rb2CoCl4,mp-571242,COMPLETED,0.2272,0.0041,29,0.8309,0.0927,0.029,-0.009004358684133202,-0.0040000000000000036,-0.001484608571428403,0.07907740176563215,none_ferroelectric
LiVPO4,mp-765022,COMPLETED,0.0806,0.0003,27,2.6671000000000005,0.0222,0.007,0.0014006110739333644,0.007899999999999352,-0.0013250989285715775,0.12643811634265173,ferroelectric
Rb2ZnCl4,mp-616185,COMPLETED,0.1125,0.0014,29,4.4486,0.0408,0.012,-0.0051490020619852864,0.027499999999999858,-0.0003605271428570589,0.26628560807053414,ferroelectric
Ba2CrO4,mp-566511,COMPLETED,0.0924,0.0008,29,1.7997999999999998,0.0382,0.012,0.0027327811736254353,-0.09210000000000029,-0.00015375607142864567,2.7021511405133953,none_ferroelectric
Cu3Mo2O9,mp-649957,DEFUSED,0.1131,0.0019,29,0.0,0.0337,0.014,0.003214171826372693,-0.009900000000000464,null,null,none_ferroelectric
H3ClO5,mp-625175,COMPLETED,1.1601,0.0252,29,5.3835999999999995,0.4619,0.122,0.08254287364036057,0.3611999999999993,0.046915437500000046,5.234242846616216,ferroelectric
H4NClO4,mp-698084,COMPLETED,0.827,0.0151,29,5.2674,0.2705,0.118,0.04175523329842479,-0.0979000000000001,-0.001201720500000114,2.203500207585305,ferroelectric
H8S(NO2)2,mp-24468,COMPLETED,1.0931,0.0313,29,5.0725999999999996,0.3433,0.332,0.01173436076653544,0.08559999999999945,0.00734995100000102,0.0017976311255299793,ferroelectric
UTe5,mp-651772,DEFUSED,0.1465,0.0085,29,0.0,0.0746,0.074,-0.01287196447511031,0.0,null,null,none_ferroelectric
CrO3,mp-779941,COMPLETED,1.2958,0.0604,29,1.5745,1.1403,0.507,0.005165251092084989,0.32930000000000015,0.02137357750000035,0.370531454996211,ferroelectric
FeHO2,mp-625268,DEFUSED,1.1392,0.0189,29,1.9719000000000002,1.0532,0.414,0.06892033189238157,-0.20860000000000034,null,null,none_ferroelectric
KEr2F7,mp-27925,COMPLETED,0.182,0.0003,29,6.9426000000000005,0.02,0.006,4.191507903443956e-05,0.06670000000000087,-5.0101999999441205e-05,1.527275485606641,ferroelectric
PbCN2,mp-619032,COMPLETED,0.114,0.0085,29,1.8531999999999997,0.0707,0.051,-0.027717466957006734,0.029100000000000126,-0.003248878750000017,10.543112956925123,ferroelectric
